Family vlog with Newly Fashion,2.33K
WaYallProduction,2.3K
KAP TV MUSIC,2.29K
MAPS TABERNACLE,2.29K
So Megane,2.29K
Soldat972,2.26K
M.CULTURE,2.23K
Pantheon Publishing,2.19K
Karibimage International Studio TV,2.13K
HOT FREKENCY,2.12K
LeSquat Tv,2.09K
Khris Burton,2.07K
Andy Kokel,2.07K
TWAPBOY,2.05K
BTV GUJARATI,2.02K
herss,2.02K
DARK ANGEL Studio,2.01K
CID Partage,1.98K
NESTY_YTB,1.94K
GMB ali,1.93K
Franck E-Edouarzi,1.92K
Bad Sound,1.9K
Ew Prod,1.88K
Jean-Yves Rupert - Vrai Compte,1.88K
Happy Silvers,1.87K
Régis Guillemot Charter,1.85K
G.M.V Officiel,1.82K
VYBZ Ghetto A_animation créole,1.81K
Christoph Haab,1.79K
Les Milans De Vany,1.76K
Paul Assouvie,1.75K
Original Maleïka,1.74K
asim up vlog,1.72K
Cedy,1.71K
SHiki 972,1.68K
FIOLITO,1.65K
EWAG Live,1.64K
monnayeur entertainment,1.62K
Madi O péyi,1.61K
jojo comédie,1.58K
LAMASA OFFICIEL??,1.57K
AkeLightzz,1.56K
Emile Moutoussamy,1.55K
Foxx Music,1.53K
Eglise adventiste du 7 ème jour E…,1.51K
Carrefour Martinique,1.5K
Origami gaming,1.48K
RUPTEUR TV,1.47K
Le redman,1.47K
la Compagnie du Rhum,1.46K
Digicel Antilles-Guyane,1.45K
MOOD TV,1.44K
MoonLight Tarot,1.41K
Santé des Îles,1.39K
Late in the lake,1.39K
JMUSICKS,1.39K
SONG_ PRODUCT,1.39K
Amine HM,1.38K
La Savane Des Esclaves,1.38K
Lucide Sapiens International,1.37K
Zenoxy97 Omonculus,1.36K
Holy Music Events,1.35K
Madin' Jeunes Ambition,1.34K
NOU PA FÈ NOUVÈL,1.34K
JUZPROD FILMZ2.0,1.34K
M.E.E.S Tv,1.32K
قناة إحسان,1.32K
ZayActu Martinique,1.31K
BIRDY prod,1.3K
Yvngboi Trad,1.29K
K'ro04,1.28K
Quatre-vingt-dix,1.27K
DJ M MIX,1.26K
D. L.J.,1.25K
redsonHD,1.23K
Only Way School,1.23K
DougyFresh1199,1.22K
WorldWideHipHop,1.21K
Christian Foret,1.2K
Vener Samme Vlogs,1.2K
scoops.,1.2K
Listopi,1.17K
SN,1.16K
TURTLE STYLE,1.14K
Speel Officiel,1.14K
Yogathug,1.12K
Gissé TRAVYS Officiel,1.12K
Sinew Malla,1.12K
MICKEY.2LV OFF,1.11K
Martinique Surfing,1.11K
Tripl3x,1.1K
KERLO Kerlocom,1.09K
Eglise Evangelique Baptiste de Riv…,1.09K
Venox,1.08K
Raquel Taoil,1.07K
SickLift,1.07K
Relax cozy music,1.07K
Dj is black officiel,1.06K
France-Antilles & France-Guyane,1.05K
Stéphanie Saxémard,1.04K
AtoFirstUniversal,1.04K
ヅKoro,1.04K
Eglise du Nazaréen Morne-Venté,1.04K
By Gladys,1.04K
الكوافير سلمان,1.04K
kindhiya,1.03K
Shymei,1.03K
ASSISTANCE PLUS,1.02K
Loriane Zacharie,1.01K
Gospel Caraibes Médias,1K
Yékrik LABOX,1K
Camille Leger,999
Toba Di Badmahiny Hpn Gad AlukarDi…,994
PROGSM,993
CHU de Martinique,990
Église Maranatha,984
RadikalSound972,977
Eglise Evangelique Baptiste de Pla…,974
SFRCaraibe,974
Révisions littérature collège l…,972
Maniigance,967
ICE ActuTV Rcclan,965
Micajah,951
Hacked by Scorz,950
Biznes Island Girls,937
KNyA films,926
Franica yap,912
GFXPRODUCTION,904
Shwaay,891
Famxus_ 18.k,886
FeelGood Movie,873
SUNOFPURPP RECORD,845
Dave Provo,844
mikaibrahimovica,829
Alain Loutoby,820
RiriaviationHD,819
ADD Martinique,815
JM Locations Vue Turquoise,812
mounisimatnik,808
MᴀxPʟᴀʏMᴏᴅ,804
Insane_Ly,788
idylleau 7,786
Boudoum972,780
Nanusma,779
Sheena Fashion,776
LayCat ASMR,773
Nain972,771
Karudio,766
Martinique Automobiles,766
awitec | Formation Marketing Digit…,765
Taiga,761
CCIE Automobiles,759
Le Labo Recording,744
D e M o N i Λ ĸ,737
L3G3ND 97,734
VARHEL,732
SuRaTo 972,721
sonyrevues,719
Lima VideoMusic,717
Zenakaz,714
Generation Céleste,712
Matiniklove,710
Frédéric ACHEEN,709
Blind Test Antilles,701
Région Martinique,699
JALEE,694
Type BeaT,692
Hawki Edits,692
Quelle est la réponse ?,688
trap bart,679
Zo Polo,672
Kyogariss,670
BVS,655
Rouspect Lanashenty,652
FlupeeMoDz,641
Orie2x,640
Txrpzy,635
Naomie.L SHINE'S-PROD,629
Factor Will Officiel,628
cici .crazydoll,625
Mr lacuser,616
MTP-Waleezy,613
Royal MakerHD,611
OnlyJox,611
Mxthiis Eld,611
PROZUSINAGE PG,610
CPASCHO PRODUCTION,609
Viilain ThuG,603
DeterProdStudio,600
HUNTER972,595
Madinina Free Vibes B2SPTV,594
YZR Musicothérapie & Relaxation,591
DragonflyStigma,580
Tom Wenger,574
Alex underwater,572
Giddy Tv,567
LES AVOCATS REUNIS AARPI,565
Surf Report 972 - Tartane,561
catseye30,553
Dj Charlan,546
Fabien,540
Slugzybtw,540
Manu bvo,540
Zen Side Relaxation,533
Adepo Gilles Pâcomes M'BESSO,528
LaMeduzeBeatz,525
ATILA MOVIE,524
Princess Kinzy Official,519
Crédit Agricole Martinique-Guyane,504
BASS RT,502
Lovelace DJ,499
Bryan Wong,498
The FABULOUS Family,497
HIROFOX_OFFICIEL,486
JOLI ROUGE,476
Lovebirds,476
LogoOnTheBeat,475
IamJustWilliam,474
annoncestv mediacom,473
Ital Kallabash,469
Panic1k,468
Itz-_-Fayzen,467
LDAviation972,459
RediffLiveTv,459
BonjouurKylie MSP,459
"OUEB GROUP basé en Martinique, re…",457
TrsnFTW,455
Sentinelle du matin,453
New channel : /channel/UCcNrrhjIJE…,451
Jace,449
Steady,448
Ti LaRude Officiel,448
Moponi972,445
ATV,439
Lorenzo vie,438
Entre Nous & Co,435
SerenityMenzel1987,432
Paroisse d'Ajoupa Bouillon,431
MatindaOfficialTV,428
Golden Gargoyle,421
Loulou fandub,412
WirtzFX,410
Loy SonJah,410
Abraham Mentor,407
bordeau greg,405
VKSS5,405
moondaka djojeff,404
La Sorcière et le Médecin,403
Ririaviation972,397
small972,391
Yoxu,391
Frères d'Haltères,391
Yann PLS,388
pirokudami,380
MADAFOOT,380
Fast'Production,377
Victor Monier,376
LEYTHEE,370
ll_-Itachi-_-llシ,363
LMEA,361
AL'K OFFICIAL,361
PunishConcept,360
Kvse LV,360
Alain JBE,359
Nancy,354
Un Petit Grec,353
Sarahalizee 974,352
Netrax,351
Pablo Tv,347
mikychou972,345
mondesirmanuel,344
El_ PADRÈS,341
KriyéMwenMélo,338
Joker Mugetsu,335
Catherine Conconne,334
ProdByNuevo.,328
TheMe972,324
JΣSҜӨ?,323
Boogie Flaha,322
Jérémy Édouard,321
?ф?????,320
Tchility972,319
yannou788,318
TunE,318
Ksoo,316
Ras' in,313
Rangetou,313
Alexis_ All,313
Adriano,311
Audiat Momentum Music,310
NEOX_ YTB,307
DERIKU,306
Swatzer,304
JM COLOR TV,301
New4ShifT,301
ulKYOrra 972,300
stephenKM,298
MystahPerryOfficiel,297
1Bazar2Fou,296
Dano_758,295
Rubee Prod,295
Autos GM,294
LT MUSIC,293
bienvenue dans la chaîne a toute …,292
BENIGY,291
GenerationalInters,291
Nouvelle Chaine Martimouss,288
Swan Badol,288
BrunoSide,287
Black Fa Officiel,287
IKA H OFFICIEL,286
Jogui972,286
Kaht,285
harmonica soleil,285
Wasson Vassone,282
McDonald's Antilles Guyane,279
KD Filmz,278
LarnakForMyDawgs,277
ValarinaCreations,276
Chef Bodo  kitchen,276
B.E FILMS,273
Nain & Nosy,273
Jordan BLANCHARD,269
D.A.F tv,269
Nanouj,267
Sisocot,267
VILLEDUFRANCOIS,263
Lion Soldia,263
adrien d'almeida,261
TB Rider,260
Team Toba Di Badmahiny HpnVEVO,259
Xaql,259
Ndin0x,257
Demnit'z Music,255
headphoneofficiel,253
BROknROD,251
illumi_dono,251
Dayatel,247
Race Day Records,245
xLaDy_ LuNa,245
Culture Egalité,244
Blr Boug La Ri A,243
Morgane Prat,242
Ti Mada Officiel,242
Madoo Nina,239
Asia My love,239
Mr.Murazaki,238
thoxy,237
Gåmer,236
Rowanon,236
Goosie P,236
Solidaritétv 998,235
Mamie Doudou,230
Draf.2,229
SONORISATION DILL LD,229
lolydride45,228
HappyDreamsUnicron,226
Jason,224
Family KiinG,224
kayprod Martinique,224
MaDa Training chez Liberty Gym,222
Bénédicte Varsovie,221
TMZ- _-YT,220
Black and White,211
Communication NOU PEP LA,211
King Duo,211
Youri,210
SxiT3k,209
Evens Demoniere,209
Lourson,207
elven 7,207
UEMPEM,207
Shyv'Anna,206
AKAZ PRODUCTION,204
ginga234567,204
doresowlo,203
PARTAGE Ws,202
Valky,199
Mickael Bruno,198
OME'GA Gaming,196
Fernando Fernandez,195
Alex Tritz,193
Nadia DUGA,193
Xénox,192
Yves GUANEL,191
Foxter _,191
DJ isnak Matinik sound,190
Zekso,189
Pa kouwi,188
GazaDream 3,187
MQ Officiel,187
Laura.,185
Symbiose Gospel Célébration,185
Dj Weapon 972,184
ام غمازه البصراوية,183
Global Island Girl TV,182
Trass Martinique,181
Nxthxun,181
The Si-y,180
JUST K-ROO,180
sassy cakes,180
YuuNashiMi,179
LPO Victor Anicet,179
Kellian Cafe,178
Syrad Production (Ancienne chaine),177
Mansourdji,177
Inspiration jj foto,177
oh_manu,176
Systeko - Solaire par nature,174
AnthoMV,174
ChatrouBoii,174
Turquoise Yachting,172
L2,172
sonicich,171
Com. CÉSECÉM,171
BloodS,170
MLK_Production,167
JUNIORツ,167
leeflutt,165
Reivax_972,164
Quentxn,162
Ruben,162
L’ange saint,161
Mr Pringle’s,161
BIYN MEDIA,161
WEJUSTPLAY4YOU™,160
Arrrghzzz,159
TAKAOYT,159
CAP Nord Martinique,158
J-J Beats,158
Mermer location,158
ZesTys,157
Saphir Esport,156
K-PROD FREEPLAY,155
openXdom,154
Deliinquentt,152
Skyriel _Officiel,151
Braaad2.3o,149
SpearKing : spearfishing Caribbean…,146
PHI ́L,146
Dimitri Monlouis,145
Nell Evans Music,142
SWAGGJTV,141
MADALASKAR PROD,141
vavane,141
RaxRod FF,139
Sébastien Dormoy,139
dixiprod,138
Mistah Livaye,138
WARREN,138
MORTEX,137
Ikurozz,137
Logane Joseph,137
101Radec,136
Wendinero Officiel,136
Bleach AnimeTV,134
Bambouseraie AFIBAD,134
Joël_acm,134
Fryxii YT,132
MatouOnTheTrack,131
Python Jr,130
Ruben Walnut,129
Dylan C.,127
ViPlyS,126
Trash ketchup,125
Scxarlet_. AMV's,125
RLTLOWZY,125
"PARALLEL14 • 3D ANIMATION, VFX &…",123
Grizzmo,122
Roméo l'ignorant,122
Théo 972,122
Zenn To da benk,121
lafactory972,121
Griff' Zer,120
Xman972,120
Sirob972,119
mister Djouves,119
BLACKFL4SH,119
Nicole CAGE,117
T Wiz DQ,117
Killive Studio,117
Buzz Martinique,116
MARTINIQUE FLY AWAY,115
Oneonly Vziiom,115
Emrys Antilles,115
KuZa,114
Power Sound Studio,114
Le Roi Corbeau,114
Ryudydy sama,113
Kohisa,113
MVR972,112
Aron Bax,111
Matinino2013,111
Nerds of the Caribbean,111
CBG Sound,111
Nyll beats,110
DémonscraftPE - Minecraft Pocket …,109
TreyMad.,109
LeKap' N,109
CH0CHICHE,109
Onelife972 ?,108
Logdes,108
Jordan Tay,106
SunRiseGaming,106
BILLIONAIRE Luxury Lifestyle,106
Kylimo,106
NZ Bloodashi,106
KIIIWAN,106
p kinzy jackson,104
Greg,102
( Busaard ),102
Mavic Air Fan Drone,101
Sahh,101
Mael MSP,101
Di Therapist / Royal Storm,101
de la 9VG3,100
Aogiri Yanis,100
YolKer-_-972,100
ツ_W E B E R T_ツ,99
Freddy_ Fr,99
banusma FN,99
I AM ATOMIC,98
[ VORTEX ] 2.0,98
PushUp Monster,98
Ella-artiss ART,97
Lohanne,97
UBG Music,97
Mallory,96
Samuel,96
TutoHelper,95
Chanflor Martinique,95
Jean-Philippe Ursulet,94
La MISKINE,93
Loicrav,92
SS3D,91
dominooztv,90
bivele,88
Croisière naturiste,88
LC9ytb,88
† Lunacy Music †,88
SnipeezGo,86
HAPPYFLAWLESS,86
Maly Letty TV,86
Peugeot Martinique,86
Ly ZaRToX,85
Dylan Meslien,84
Funny Pro Bd,84
Danaé Tds,84
ÉRIC OG KUSH,84
C Mormin prof,83
Mossein LACAVALERIE,82
saorganisation,82
Dxren_rsd,82
SEPH RP,82
Linos Toto,80
{ Wølf Aurøre } Mes jums{sad&Byb…,80
Jason ROVELA,80
Gérald Ignam,78
FSoRShaDowX,78
GRAY_BORDEL,78
CarBon,78
SpartiateGaming,77
— lunayang.,77
POGO GAMER YT,76
￫ ᴹudAim9￫,76
Micky UHA,74
xxx xxx,74
DarkamiX6,74
lLexa,73
La kza des artistes,73
Saturnn,73
Ismaa 972,72
Dan Evens,72
chacalito??,71
Shiny Gaze,71
SoYuTsu,71
Tilo OfRoG,71
DazKoEditing,70
Wishmy,70
YASSIR ch05,70
MKR971 Marketing Opportunity,70
Samy TV® fitness,69
NøkkəN,69
mistergun972,67
Toyota Martinique,67
TheWalking01 YTB,67
Julius Gaming Zone,67
somso,67
STEVAUHN MORANCIE,66
Madin Simulation,66
Stephy Official,66
Univers Clan's,66
taz,66
Doumé Esposito,65
ARANSHAA,65
Ley.Z,65
Renaissance Martinique,65
Ty'flo Shab,65
Fr33ZeN Nounours,64
Llaw_..,64
Chibi Caruto,64
MODD-SEB97,63
Armel972,63
Oli Olivier,62
StATiKSs _,62
Gregory Hayot,61
C'leene,61
Frizer 972,61
Steeven Gromat,60
intertenpro,59
Ace VFX - Madara0404 - Chaîne Act…,58
Twisty™,58
MedKill,58
Explore West-Indies,58
?ռɨɢɦȶƈօʀɛ?,58
Crameurboy972,57
nounou 973,57
MrBoris972,56
Titom218,56
K2S Ace,55
utopiaisinyourmind,55
LAHLAFL OMAR,55
Goumin production,55
Peroporknomelachupas,54
Solwer,54
daniloux 972,54
Chris Sylvius,54
SuperCroquette,53
PlasmaTic972,53
WILEM PIERRE-DOMINIQUE,53
Kid Riley,53
Siinaï,53
MrBritino,52
StanNDX,50
Yoogoproduction,50
O Gwap Squad 517,50
Le king De la rue,49
Joram,48
ImSaxon,48
Nema frantz,47
ItsNosy_,47
WH BESPOKE,47
Keran Games,47
Syd972,46
Yamina Peach,46
Joris 97two,46
sasskiix,46
Lusentoro,46
Johann Gobalsamy,45
LaFabrick,44
Elisonjm,44
Sidney MONTABORD,44
Xman,44
Power Squad Production #PSP,44
alb972 Officiel,43
Yannick JERIER,43
Mr Djocco Djo2co,43
google ytb,42
DetectiveVengeance,42
Rando Raché Pa Ladjé,42
anythor,41
Arokiyo,41
Dieco,41
chriscuphog16/melo-rio 25,40
Cool Boy,40
MrDiamond,40
Anxiety = Drama,39
CalvinSparetimeAMVs,39
Beyonce Yonce,38
Xx tyty xX,38
Sports&Mecanics,38
Dr_linuxios,38
KingBenhur 972,38
dido972,37
NinixFightGames,37
David Degrey Films,37
Honoré Antonny,36
Boulette Blanche,36
Infinity nix,36
Nautitan,36
KayChoc,35
Bham,34
oystracovh nelkovshk,34
L'ange 972,34
Cross The X-event,34
Yoprod972,33
Etis,33
Perrcy 54,33
Witiek TV,33
StéphaneOfficiel,32
Tng lama,32
Artheoloth,32
XENOJIN,31
GideonGamer Youtuber,31
MAN,31
L'îlot Vins Martinique,31
frédo tony,31
أحمد خيرو,31
MANIAC XBOX GAMER,30
FairiesBooks,30
Film & Impact,30
Crysprod,29
TawS JinZo | Nouvelles chaînes da…,29
Lis8,29
ROTARY CLUB DE SAINT PIERRE,28
Anime Piano Tutorials,28
Armstar 521,27
25k_xChxm,27
TheBiscottes Family,26
CHOUVALBWA TRAD,26
Theblogout,25
꧁༺ Lalou ༻꧂,25
Mehdi,25
JyzBeatmaker Dj Jyz,25
KzKval,25
Nettement pao,25
Manuel REMY,24
RTRFBC,24
DarkShot,24
"WSI DOM Martinique, Guadeloupe, Gu…",24
Mail Boxes Etc. Martinique,24
97GamersEmpire,23
VII Reboosters,23
Crea TA,22
MS parieur pro,22
Vinice Donizeau,21
Voilier Sideral,21
Pomevras TASP,21
Chanut,21
Vanessa Bautista,21
F1 Stars,21
Jesús Adrian Calva moran,20
Nathan Newton,19
SnipingSweeT,19
Sriyan Bhujel,19
bateauxantilles,19
RyZeツ,19
Nizzy,19
Boris Mert,18
DracoEstar,18
MGS_Clan,18
Les Trickshot de Xxkamikaz_972xX,18
MidTraveller,18
Enderson LEDRON,17
7V Esport,17
Gokami,17
Smoke Vyper,17
Madinina Bloc - Escalade & Street-…,17
OsloGraph,17
Lejoueurdu972 Lejoueurdu972,16
Zylar,16
Ki2L SPARTIATE,15
shernick marius,15
narutsuke,15
Ryuuke Blue,15
lililoveswashi,15
MT,14
Pyrozer,13
VitalityCommunity,13
Casper Young,13
KineMaster The Object Thingy,13
BlizZ,12
LeCable Caraibe,12
mast 972,12
VinylTrash,11
iJossko™,11
Kagura,10
Mickaël Samuel SICOS,10
Fallen Gamers,10
Dominique972 mada,10
Lyrad,9
Rainbaal Hype,9
ZX RaVeN,8
Saikiio,8
SunFlight SIM,8
hillsteur,7
MagiXxxx972,7
KazaCube MC,7
Commod,7
jeuxvideoman,6
ZodiakBlue,6
Kingof Silver,6
danthology,5
DAVID AMAR,5
louis-raphael kimboo,5
Chiken,4
SkYzJohn972,4
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
,--
